File Path,File Id,Class Name,Class Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\MacroExpander.java,161,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.MacroExpander,162,12115,12315,85,1.903225806451613,0.5476190476190477,31,59,2.364705882352941,31,47,201,244,196,79,22,33.974683544303794,440,0.029433681073025336,2.0043213737826426,0.11135118743236903,0.05899455608376631,0.5529411764705883,2,2,0,0.0,9,9,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\MacroExpander.java,161,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.MacroExpander,421,16667,16867,67,1.903225806451613,0.42424242424242425,31,59,3.0,31,29,201,244,196,79,22,33.974683544303794,440,0.029433681073025336,2.0043213737826426,0.11135118743236903,0.05899455608376631,0.43283582089552236,2,0,0,0.0,9,9,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\PLOCCounter.java,189,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.PLOCCounter,190,12402,12529,66,1.7826086956521738,0.46153846153846156,34,41,1.9393939393939394,23,31,128,142,128,36,15,29.583333333333336,270,0.03380281690140845,1.7075701760979363,0.09486500978321868,0.05772068200894432,0.4696969696969697,0,2,0,50.0,4,4,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\PLOCCounter.java,189,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.PLOCCounter,443,16954,17081,58,1.7826086956521738,0.38596491228070173,34,41,2.206896551724138,23,23,128,142,128,36,15,29.583333333333336,270,0.03380281690140845,1.7075701760979363,0.09486500978321868,0.05772068200894432,0.39655172413793105,0,0,0,50.0,4,4,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\StringTools.java,195,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.StringTools,196,12539,12955,200,2.238095238095238,0.46733668341708545,80,141,2.085,63,94,417,567,443,179,32,50.68156424581006,1010,0.019731040564373897,2.3242824552976926,0.12912680307209404,0.04586051140854133,0.47,0,0,0,87.5,11,11,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\StringTools.java,195,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.StringTools,448,17091,17507,147,2.238095238095238,0.273972602739726,80,141,2.836734693877551,63,41,417,567,443,179,32,50.68156424581006,1010,0.019731040564373897,2.3242824552976926,0.12912680307209404,0.04586051140854133,0.2789115646258503,0,0,0,87.5,11,11,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\VarFinder.java,208,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder,209,0,0,20,0.0,1.0,0,0,0.0,0,20,0,27,27,14,2,1.9285714285714286,54,0.5185185185185185,1.2041199826559246,0.06689555459199581,0.6243585095252943,1.0,4,8,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\VarFinder.java,208,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder,460,0,0,18,0.0,1.0,0,0,0.0,0,18,0,27,27,14,2,1.9285714285714286,54,0.5185185185185185,1.2041199826559246,0.06689555459199581,0.6243585095252943,1.0,4,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\FunctionCallToken.java,174,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.FunctionCallToken,175,12324,12343,7,0.0,1.0,0,0,2.857142857142857,0,7,20,3,5,3,3,1.5,8,0.6666666666666666,0.7781512503836435,0.04323062502131353,0.5187675002557623,1.0,1,0,0,100.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\FunctionCallToken.java,174,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.FunctionCallToken,432,16876,16895,7,0.0,1.0,0,0,2.857142857142857,0,7,20,3,5,3,3,1.5,8,0.6666666666666666,0.7781512503836435,0.04323062502131353,0.5187675002557623,1.0,1,0,0,100.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\StringToken.java,181,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.StringToken,182,12359,12377,7,0.0,1.0,0,0,2.7142857142857144,0,7,19,3,3,2,2,1.5,6,0.6666666666666666,0.6020599913279624,0.03344777729599791,0.4013733275519749,1.0,0,0,0,100.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\StringToken.java,181,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.StringToken,437,16911,16929,7,0.0,1.0,0,0,2.7142857142857144,0,7,19,3,3,2,2,1.5,6,0.6666666666666666,0.6020599913279624,0.03344777729599791,0.4013733275519749,1.0,0,0,0,100.0,2,2,false
