File Name,File Id,Class Name,Method Name,Method Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Formal Parameters,Call Pair Length,Defected?(false/true)
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.LOCMetrics,LOCMetrics,11,9158,9187,1,0.0,0.0,0,0,8.0,0,1,8,12,12,6,2,2.0,24,0.5,0.9030899869919435,0.050171665943996864,0.45154499349597177,1.0,6,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.LOCMetrics,getResults,12,9158,9187,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.LOCMetrics,calculateMetrics,294,13710,13739,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.LOCMetrics,LOCMetrics,295,13710,13739,1,0.0,0.0,0,0,2.0,0,1,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.LOCMetrics,LOCMetrics,296,13710,13739,1,0.0,0.0,0,0,8.0,0,1,8,12,12,6,2,2.0,24,0.5,0.9030899869919435,0.050171665943996864,0.45154499349597177,1.0,6,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.LOCMetrics,getResults,297,13710,13739,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateMetrics,17,9196,9242,1,0.0,0.0,0,0,4.0,0,1,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,getResults,18,9196,9242,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateWMC,19,9196,9242,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateDIT,20,9196,9242,1,0.0,0.0,0,0,5.0,0,1,5,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateNOC,21,9196,9242,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateRFC,22,9196,9242,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateCBO,23,9196,9242,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,calculateLCOM,24,9196,9242,2,2.0,0.0,1,2,4.5,1,1,9,5,8,3,6,5.0,13,0.2,0.9542425094393249,0.05301347274662916,0.19084850188786498,0.5,2,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateMetrics,300,13748,13794,1,0.0,0.0,0,0,4.0,0,1,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,getResults,301,13748,13794,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateWMC,302,13748,13794,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateDIT,303,13748,13794,1,0.0,0.0,0,0,5.0,0,1,5,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateNOC,304,13748,13794,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateRFC,305,13748,13794,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,calculateCBO,306,13748,13794,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,1,0,false
